claim,location,source_artifact,script,folds,input,training_supervision,budget,training_seed,metric,uncertainty,support
"361792 cells;40 patients;293APT;5/27 labels","abstract;setting","benchmark/release_audit/inventory.json;outputs/revision_composition_control_v1/qa.json","analysis/audit_release_inventory.py;analysis/revision_composition_control.py","five frozen groups of eight","provided APT expression","RNA-derived ontology","full evaluated cohort","not applicable","counts/key consistency","none","bookkeeping verified;biological validity not implied"
"Main reference ranges and rows","abstract;Table main","analysis/generated/benchmark_reweighted_metrics.csv;benchmark_reweighted_audit.json","analysis/revise_benchmark_table.py","five frozen patient folds","APT","lineage/subtype;Soft-cascade additionally disease contrast","recipe-specific full-development protocol;checkpoints unchanged","not inferred from bootstrap seed42;training provenance incomplete locally","SB pooled Macro-F1","2000 patient bootstrap conditional fits;no training-seed CI","descriptive;not superiority"
"Cell split optimism0.050-0.108","abstract;split results","tables/protocol_sensitivity.tex","analysis/generated/hierarchy_main_metrics.csv;original split artifacts remote","cell-random vs five patient folds","APT","recipe-specific","not causally allocation-matched","not independently verified for old split","CW pooled Macro-F1","historical comparison;not paired SB inference","four observed contrasts only"
"RNA fine0.584;RNAAPT0.606;delta0.022","paired diagnostic","outputs/paired_information_validation/summary.csv;completion.json","analysis/validate_paired_information.py;prepare_fold_rna.R","5 outer;one fixed inner fold","raw APT log1p;RNA train-only2000HVG","coarse/fine labels;patient/class weights","1000 cells/development patient;40epochs;alpha inner selection","20260911","SB pooled Macro-F1","2000 paired patient bootstrap;single fit/shuffle realization","internal reconstruction;not full-budget main table"
"True pairing vs shuffle0.010[0.002;0.017]MLP","paired diagnostic","outputs/paired_information_validation/summary.csv","analysis/validate_paired_information.py inputs/run","same paired folds","RNA+APT vs within-patient shuffled APT;noise retained","same labels","same capped probe","20260911","SB pooled Macro-F1 difference","pointwise conditional fits;no repeat-shuffle variance","MLP fine only;SGD unresolved;MLP coarse shuffle better retained in source"
"Subtype MAE0.02314to0.01478;lineage no improvement","composition","outputs/composition_recovery_validation/summary.csv;per_class.csv","analysis/validate_composition_recovery.py","outer-test patients;training-only means","soft cell probabilities","base subtype;no disease base training","32 outer-development;24 inner-base patients","base42;bootstrap20260911","equal-patient all-class MAE","2000 disease-stratified patient bootstrap","conditional recovery not disease benefit"
"Direct subtypeMAE0.01421;soft-direct unresolved","composition","outputs/revision_composition_control_v1/summary.csv;qa.json;selection.csv","analysis/revision_composition_control.py","5outer;4inner frozen patient folds","patient median provided APT","development reference fractions;no disease fitting","40patients;5ridge alphas;full benchmark-cell medians","deterministic ridge;bootstrap20260912","MAE;TV=K*MAE/2","2000 stratified paired patient bootstrap;no cell refitting","no demonstrated cell-output advantage;not equivalence"
"QC conditional subtype disease increment unresolved","disease appendix","outputs/technical_covariate_disease_audit/conditional_increment_bootstrap.csv;conditional_increment_summary.csv","analysis/conditional_subtype_increment_audit.py","frozen nested outer folds","QC+lineage vs QC+subtype","disease LR;subtype base","32development patients","see script;not recovered from rounded table","patient disease Macro-F1","10000 paired patient bootstrap[-0.120;0.169]","exploratory;unmeasured acquisition remains"
"Plasma vs MemoryB1/CTL1 counterexamples","per-class appendix","analysis/generated/subtype_per_class.csv","analysis/generate_subtype_audit.py;render_revision_subtypes.py","five patient folds","APT","recipe-specific","same frozen predictions","conditional existing fits","CW per-class F1","2000 patient bootstrap","abundance insufficient alone;not causal"
"LODO incomplete six-group audit","LODO appendix","tables/LOD.tex;archive/manuscript_before_reviewer_revision.tex","original LODO runner not verified locally","disease-group holdout","APT","Soft-cascade recipe","per-group supports unavailable","unverified","CW group-specific metrics","no patient CI in available summary","Normal unavailable;no six-group mean or pooled-difference inference"
"True-lineage restriction improves frozen fine predictions","results;true-lineage appendix","outputs/remaining_oracle_v1/summary.csv;completion.json","analysis/export_lineage_oracle.py","same five frozen patient folds","APT plus true test lineage as privileged diagnostic","unchanged reference recipes","15 frozen checkpoints;361792 cells per model","unchanged existing fits","SB pooled fine Macro-F1;paired oracle-minus-ordinary","2000 paired patient bootstrap conditional on fitted models","all ordinary predictions reconstruct exactly;not deployable performance or assay information ceiling"
