old_content,action,reason,removed_claim,replacement,artifact
"Main reference table/full inventory","retain","primary evidence","none","main and compact appendix","tables/main_result.tex;tables/hierarchy_subject_balanced_all.tex"
"paired RNA/noise/shuffle","retain","controls required for pairing interpretation","independent biological validation","paired appendix and concise main contrast","outputs/paired_information_validation"
"Soft-cascade architecture","retain appendix;clarify supervision","reference not algorithm contribution","objective-matched ablation","main/method.tex;component table","cell_JEPA/apt_jepa/scripts/train_matched_ft_transformer.py"
"disease cell-level multi-model ranking","archive","different statistical unit;redundant ranking","diagnostic performance claim","centering and patient-ID controls retained","tables/disease_cell_level.tex;archive/manuscript_before_reviewer_revision.tex"
"legacy vs strict bridge table","archive","version audit not mechanism control","protocol change as leakage estimate","review notes and original artifact","outputs/oof_composition_bridge/legacy_vs_nested_audit.tex"
"head-tail table","archive","all27class table is more informative","abundance-only explanation","full per-class table plus counterexamples","tables/tail_head.tex;analysis/generated/subtype_per_class.csv"
"equal-cell Monte Carlo evaluation table","archive","exact SB pooling primary","none","metric definition retained","tables/patient_balanced_cell_sensitivity.tex"
"compact-panel long disclaimer","compress to index","no efficiency contribution in current scope","biomarker/assay efficiency","archive index","archive/compact_panel_audit.tex"
"single split balanced sampler ablation heading","rename development choice","not complete ablation","ablation efficacy claim","training note","archive/manuscript_before_reviewer_revision.tex"
"LODO5group mean and Normal near-chance prose","replace","Normal numeric artifact not verified;estimands differ","complete6group/pooled drop claim","explicit unavailable6th row","tables/LOD.tex;archive/manuscript_before_reviewer_revision.tex"
"empty Appendix section","remove","empty structure","none","direct implementation appendix","archive/manuscript_before_reviewer_revision.tex"
"scaling/simulation/frontier","already separated;retain archive","not primary paper","universal scaling claim","sampling_report.tex","supplement/scaling_empirical.tex;supplement/scaling_synthetic.tex;supplement/sequential_completed.tex"
"per-class mean cells/regime columns","remove redundant display columns","increase font without losing classes","none","all27classes;counts;coverage;two F1 CIs","analysis/generated/subtype_per_class.csv"
